Date/Time,Avg. Temp Deg. C,Avg. Windspeed (mps),Wind Direction (deg) ,Avg. Rel. Humid (%),Atmos Press (mb),Avg. Solar Rad. (W) ,Daily Rain (mm)
1/1/20 0:00,0.006,2.295,292.9,97.7,1001,0,0
1/1/20 0:10,-0.023,3.312,288.1,96.1,1001,0,0.254
1/1/20 0:20,-0.028,2.858,296.8,95.1,1001,0,0
1/1/20 0:30,-0.082,3.253,292.2,94.4,1001,0,0
1/1/20 0:40,-0.099,2.714,292.2,93.7,1001,0,0
1/1/20 0:50,-0.161,2.651,294.8,94.5,1001,0,0
1/1/20 1:00,-0.245,2.441,293,94.5,1001,0,0
1/1/20 1:10,-0.241,2.925,298.8,93.3,1001,0,0
1/1/20 1:20,-0.284,3.142,300.5,92.7,1001,0,0
1/1/20 1:30,-0.376,2.123,308.1,92.1,1001,0,0
1/1/20 1:40,-0.58,2.119,297.5,91.6,1002,0,0.254
1/1/20 1:50,-0.629,2.495,299.6,92,1002,0,0
1/1/20 2:00,-0.649,2.324,301,92,1002,0,0
1/1/20 2:10,-0.697,1.807,305.5,92.8,1002,0,0
1/1/20 2:20,-0.734,1.928,299.9,92.4,1002,0,0
1/1/20 2:30,-0.787,1.816,296.6,93,1002,0,0
1/1/20 2:40,-0.824,1.935,298.6,93,1002,0,0
1/1/20 2:50,-0.872,2.683,304.5,92.7,1002,0,0
1/1/20 3:00,-0.925,2.638,300.6,91.6,1002,0,0
1/1/20 3:10,-0.987,2.382,300.2,90.9,1002,0,0
1/1/20 3:20,-1.124,2.371,292.9,90.7,1002,0,0
1/1/20 3:30,-1.063,2.727,290.1,89.5,1002,0,0
1/1/20 3:40,-1.064,2.669,288,89,1002,0,0.254
1/1/20 3:50,-1.095,2.401,287,89,1002,0,0
1/1/20 4:00,-1.123,3.368,286.5,88.7,1002,0,0
1/1/20 4:10,-1.159,3.076,296.3,89.5,1002,0,0
1/1/20 4:20,-1.265,2.352,292.3,90,1002,0,0
1/1/20 4:30,-1.376,2.439,289.9,90.1,1002,0,0
1/1/20 4:40,-1.473,1.978,292,90.4,1002,0,0
1/1/20 4:50,-1.501,3.265,288.7,89.6,1002,0,0
1/1/20 5:00,-1.356,3.212,285.9,88,1002,0,0
1/1/20 5:10,-1.353,3.406,284.1,88.1,1002,0,0
1/1/20 5:20,-1.378,3.385,284.8,88.4,1002,0,0
1/1/20 5:30,-1.323,3.743,281.5,87.4,1002,0,0
1/1/20 5:40,-1.344,3.414,282.7,87.2,1002,0,0
1/1/20 5:50,-1.344,3.689,281.6,87,1002,0,0
1/1/20 6:00,-1.359,3.681,291.1,87.7,1002,0,0
1/1/20 6:10,-1.368,3.48,291.9,87.9,1002,0,0
1/1/20 6:20,-1.443,3.201,296.7,88.8,1002,0,0
1/1/20 6:30,-1.497,3.003,296.1,89.3,1002,0,0
1/1/20 6:40,-1.567,2.778,298.2,89.9,1002,0,0
1/1/20 6:50,-1.538,2.689,297.6,89.5,1002,0,0
1/1/20 7:00,-1.499,2.785,297.4,89.7,1003,0,0
1/1/20 7:10,-1.402,2.777,296,89.8,1003,0,0
1/1/20 7:20,-1.351,2.716,295.1,89.7,1003,0.019,0
1/1/20 7:30,-1.277,2.549,292.9,89.7,1003,2.843,0
1/1/20 7:40,-1.238,2.473,288.7,89.3,1003,9.18,0
1/1/20 7:50,-1.184,3.174,285.6,88.8,1003,29.79,0
1/1/20 8:00,-1.042,2.664,287.7,87.8,1003,41.18,0
1/1/20 8:10,-0.745,3.225,285,87.5,1003,87,0
1/1/20 8:20,0.026,2.888,284.5,84.6,1003,101.2,0
1/1/20 8:30,-0.108,2.41,281.1,83.3,1003,27.96,0
1/1/20 8:40,-0.633,2.723,283.2,85.2,1003,28.18,0
1/1/20 8:50,-0.767,2.185,287.1,86.5,1003,35.07,0
1/1/20 9:00,-0.788,2.394,288,86.7,1004,41.24,0.254
1/1/20 9:10,-0.781,1.633,289.7,87.5,1004,58.38,0
1/1/20 9:20,-0.696,1.948,286.4,88,1004,76.88,0
1/1/20 9:30,-0.568,2.252,282.5,86.8,1004,106.8,0
1/1/20 9:40,-0.314,2.028,282,87,1004,151.6,0
1/1/20 9:50,-0.238,3.153,283,85.4,1004,125.8,0
