Date/Time,Avg. Temp Deg. C,Avg. Windspeed (mps),Wind Direction (deg) ,Avg. Rel. Humid (%),Atmos Press (mb),Avg. Solar Rad. (W) ,Daily Rain (mm)
1/1/19 0:00,1.578,3.72,163.3,100,1012,0.037,0.508
1/1/19 0:10,1.644,3.532,167,100,1012,0.019,0.254
1/1/19 0:20,1.685,3.617,165.4,100,1012,0.013,0.254
1/1/19 0:30,1.732,3.63,160.2,100,1011,0.028,0.508
1/1/19 0:40,1.721,3.129,158.6,100,1011,0.002,0
1/1/19 0:50,1.747,2.324,165,100,1011,0.008,0.254
1/1/19 1:00,1.779,2.505,162.5,100,1010,0.004,0
1/1/19 1:10,1.802,2.109,162.4,100,1010,0.016,0.508
1/1/19 1:20,1.853,2.157,163.5,100,1010,0.015,0.508
1/1/19 1:30,1.844,1.772,158,100,1009,0,0.508
1/1/19 1:40,1.867,1.658,163.8,100,1008,0.041,0.762
1/1/19 1:50,1.827,2.147,154.3,100,1007,0,0.254
1/1/19 2:00,1.732,1.867,156.4,100,1007,0,0.254
1/1/19 2:10,1.661,1.344,158.7,100,1007,0,0
1/1/19 2:20,1.63,0.676,171.9,100,1006,0.002,0
1/1/19 2:30,1.637,0,0,100,1006,0.202,0
1/1/19 2:40,1.654,0.115,60.84,100,1005,0.163,0.254
1/1/19 2:50,1.718,0.329,341.7,100,1005,0.21,0
1/1/19 3:00,1.727,1.157,321.8,100,1005,0.107,0.254
1/1/19 3:10,1.774,0.76,316.9,100,1004,0.211,0
1/1/19 3:20,1.859,1.172,315.9,100,1004,0.21,0
1/1/19 3:30,1.845,1.203,329.5,100,1004,0.15,0
1/1/19 3:40,2.063,0.732,325.8,100,1003,0.455,0
1/1/19 3:50,2.264,0.677,338,100,1003,0.285,0
1/1/19 4:00,2.45,0.475,45.4,100,1003,0.333,0
1/1/19 4:10,2.566,0.322,60.82,100,1002,0.225,0
1/1/19 4:20,2.528,0.638,59.83,100,1002,0.031,0
1/1/19 4:30,2.372,0.048,206.6,100,1001,0.002,0
1/1/19 4:40,2.166,0.593,278.2,100,1001,0.005,0.254
1/1/19 4:50,1.932,0.928,260.8,100,1001,0.041,0
1/1/19 5:00,1.94,0.757,201.2,100,1001,0.201,0
1/1/19 5:10,2.137,1.605,215.6,100,1001,0.209,0
1/1/19 5:20,2.349,2.161,215.4,100,1000,0.15,0
1/1/19 5:30,2.243,2.431,221.7,100,1000,0.069,0
1/1/19 5:40,2.22,2.124,219.3,100,1000,0.018,0
1/1/19 5:50,2.22,2.297,217.2,100,1000,0,0
1/1/19 6:00,2.229,2.226,214.6,100,1000,0,0
1/1/19 6:10,2.457,1.663,208.9,100,1000,0.154,0
1/1/19 6:20,2.63,2.016,214.4,100,1000,0,0
1/1/19 6:30,2.647,1.962,211.5,100,1000,0,0
1/1/19 6:40,2.592,2.468,223.6,100,1000,0.014,0
1/1/19 6:50,2.669,2.443,218.5,100,1000,0.019,0
1/1/19 7:00,2.71,2.165,218.6,100,1000,0,0
1/1/19 7:10,2.981,2.349,219,100,1000,0.224,0
1/1/19 7:20,3.437,2.477,220.4,100,1000,0.748,0
1/1/19 7:30,3.806,2.413,221.9,100,1000,1.055,0
1/1/19 7:40,4.738,2.631,219.1,100,1000,1.595,0
1/1/19 7:50,5.404,2.258,220.8,100,1000,2.646,0
1/1/19 8:00,5.927,2.449,227.7,100,1000,7.327,0
1/1/19 8:10,6.485,2.722,239.2,100,1000,19.78,0
1/1/19 8:20,7.388,2.356,251.8,100,1000,33.49,0
1/1/19 8:30,8.25,2.756,268.2,100,1001,36.81,0
1/1/19 8:40,8.72,1.951,285.8,100,1001,40.79,0
1/1/19 8:50,8.91,3.292,281.3,100,1001,54.43,0
1/1/19 9:00,9.16,5.407,288.3,100,1001,140.7,0
1/1/19 9:10,9.23,4.469,294.7,100,1002,71.04,0
1/1/19 9:20,9.25,4.394,291.2,100,1002,126.1,0
1/1/19 9:30,9.7,5.859,295.9,100,1002,255.6,0
1/1/19 9:40,9.91,5.679,295.2,100,1002,288.2,0
1/1/19 9:50,9.73,6.266,297.4,100,1003,303.5,0
1/1/19 10:00,9.12,6.662,289.3,89.2,1003,325.3,0
1/1/19 10:10,8.73,5.652,289.5,79.35,1003,341.6,0
1/1/19 10:20,8.51,6.343,294.7,78.6,1003,362.1,0
1/1/19 10:30,8.2,5.798,299.8,78,1004,383.5,0
1/1/19 10:40,8.17,5.02,302.6,76.23,1005,385.3,0
1/1/19 10:50,8.05,5.426,305.4,76.46,1005,402.6,0
1/1/19 11:00,7.734,5.053,302.9,77.7,1005,324.2,0
1/1/19 11:10,7.375,3.491,310,76.77,1006,244.9,0
1/1/19 11:20,7.273,3.598,304.4,76.19,1006,261.3,0
1/1/19 11:30,6.897,4.008,306.8,79.02,1007,175.4,0
1/1/19 11:40,6.604,2.717,301.4,78.38,1007,158.9,0
1/1/19 11:50,6.496,3.829,302.2,78.43,1007,174.8,0
1/1/19 12:00,6.377,4.511,307.2,79.4,1008,148.3,0
1/1/19 12:10,6.132,3.162,309.3,78.76,1008,120.6,0
1/1/19 12:20,5.913,4.67,298.2,78.17,1008,136.8,0
1/1/19 12:30,5.713,4.714,308.6,82.1,1008,191.5,0
1/1/19 12:40,5.687,3.312,304.2,81.4,1008,198.3,0
1/1/19 12:50,5.862,3.894,301.8,80,1008,286.8,0
1/1/19 13:00,6.117,3.332,293.9,75.66,1009,279.5,0
1/1/19 13:10,6.064,4.984,303.8,74.96,1009,203.6,0
1/1/19 13:20,5.482,2.942,301.3,76.26,1009,189.3,0
1/1/19 13:30,5.527,3.316,301.5,78.84,1009,288.8,0
1/1/19 13:40,6.274,2.939,304,75.02,1009,334.7,0
1/1/19 13:50,6.039,4.532,309,74.1,1009,271.9,0
1/1/19 14:00,5.839,3.505,316.8,76.14,1009,292.8,0
1/1/19 14:10,5.966,2.862,317.9,76.11,1010,294.9,0
1/1/19 14:20,6.258,2.1,315.9,74.3,1010,204.2,0
1/1/19 14:30,5.658,2.036,316.5,71.84,1011,130.5,0
1/1/19 14:40,5.437,3.22,321.1,75.26,1011,110.2,0
1/1/19 14:50,5.039,2.883,321.1,78.55,1011,69.06,0
1/1/19 15:00,4.707,2.339,304.7,74.21,1012,35.15,0
1/1/19 15:10,4.404,2.609,304.1,74.7,1012,42.33,0
1/1/19 15:20,4.197,3.401,302.6,74.04,1012,42.71,0
1/1/19 15:30,4.039,3.146,311.9,75.48,1012,36.53,0
1/1/19 15:40,3.922,3.717,309.7,75.48,1013,40.48,0
1/1/19 15:50,3.812,1.602,299.8,74.59,1013,23.64,0
1/1/19 16:00,3.61,2.227,297.8,74.53,1013,17.22,0
1/1/19 16:10,3.46,2.17,308.5,74.42,1013,10.76,0
1/1/19 16:20,3.335,1.535,305.2,72.26,1014,4.165,0
1/1/19 16:30,3.242,1.385,300.3,73.73,1014,1.167,0
1/1/19 16:40,3.16,1.937,296.1,74.43,1014,0.026,0
1/1/19 16:50,3.096,1.618,302.3,75.02,1014,0,0
1/1/19 17:00,2.993,1.798,312.4,77.45,1015,0,0
1/1/19 17:10,2.951,2.31,306.5,76.39,1015,0,0
1/1/19 17:20,2.861,2.085,310.1,77.24,1015,0,0
1/1/19 17:30,2.777,2.753,315.1,75.89,1015,0,0
1/1/19 17:40,2.629,2.035,318.6,76.33,1015,0,0
1/1/19 17:50,2.558,2.286,308.9,74.71,1015,0,0
1/1/19 18:00,2.451,2.123,313.9,75.5,1015,0,0
1/1/19 18:10,2.4,2.586,323.8,76.78,1016,0,0
1/1/19 18:20,2.374,1.982,318.2,75.13,1016,0,0
1/1/19 18:30,2.262,2.328,313.5,74.46,1016,0,0
1/1/19 18:40,2.158,2.595,314.7,74.19,1016,0,0
1/1/19 18:50,1.945,3.268,309.8,73.94,1016,0,0
1/1/19 19:00,1.807,2.813,318.6,72.51,1016,0,0
1/1/19 19:10,1.686,2.368,318.2,73.21,1017,0,0
1/1/19 19:20,1.526,2.125,310.3,72.4,1017,0,0
1/1/19 19:30,1.316,1.24,326.7,72.66,1017,0,0
1/1/19 19:40,1.186,1.965,315.3,72.83,1017,0,0
1/1/19 19:50,1.075,1.515,331.5,72.71,1018,0,0
1/1/19 20:00,1.031,2.386,325.5,72.43,1018,0,0
1/1/19 20:10,0.963,2.364,331.4,73.78,1018,0,0
1/1/19 20:20,0.867,1.966,333.8,72.21,1018,0,0
1/1/19 20:30,0.741,2.701,319.8,73.19,1018,0,0
1/1/19 20:40,0.679,3.398,316.3,72.94,1018,0,0
1/1/19 20:50,0.557,2.559,313.1,71.59,1018,0,0
1/1/19 21:00,0.389,3.377,321.1,73.62,1018,0,0
1/1/19 21:10,0.283,3.63,315.4,72.73,1018,0,0
1/1/19 21:20,0.172,2.967,314.3,70.48,1018,0,0
1/1/19 21:30,-0.041,2.049,310,70.36,1019,0,0
1/1/19 21:40,-0.261,2.461,321.7,72.28,1019,0,0
1/1/19 21:50,-0.403,2.061,313.6,71.71,1019,0,0
1/1/19 22:00,-0.586,1.368,327.6,72.26,1019,0,0
1/1/19 22:10,-0.861,1.115,341.3,72.45,1019,0,0
1/1/19 22:20,-1.11,0.842,293.5,72.09,1019,0,0
1/1/19 22:30,-1.147,1.303,305.6,76.39,1019,0,0
1/1/19 22:40,-1.162,1.139,308.6,74.87,1019,0,0
1/1/19 22:50,-1.236,1.272,298.7,73.83,1020,0,0
1/1/19 23:00,-1.303,2.471,303,73.33,1020,0,0
1/1/19 23:10,-1.24,2.2,309.8,71.83,1019,0,0
1/1/19 23:20,-1.319,2.162,307.6,70.55,1019,0,0
1/1/19 23:30,-1.429,2.096,324.6,72.08,1020,0,0
1/1/19 23:40,-1.609,1.338,331.4,70.77,1020,0,0
1/1/19 23:50,-1.786,1.261,353.4,73.51,1020,0,0
1/2/19 0:00,-1.955,0.883,344.2,70.3,1020,0,0
1/2/19 0:10,-2.109,1.461,341.2,73.5,1020,0,0
1/2/19 0:20,-2.189,1.522,312.4,71.52,1021,0,0
1/2/19 0:30,-2.253,1.909,312.4,72.14,1021,0,0
1/2/19 0:40,-2.327,1.939,305,70.98,1021,0,0
1/2/19 0:50,-2.431,2.161,311.9,70.45,1021,0,0
1/2/19 1:00,-2.522,2.118,305.9,69.73,1021,0,0
1/2/19 1:10,-2.615,2.279,304.7,68.11,1021,0,0
1/2/19 1:20,-2.739,2.038,306.3,68.73,1021,0,0
1/2/19 1:30,-2.903,1.53,305.1,69.43,1021,0,0
1/2/19 1:40,-3.134,1.064,325.9,69.83,1022,0,0
1/2/19 1:50,-3.423,0.901,334.3,71.83,1022,0,0
1/2/19 2:00,-3.498,1.108,348.5,74.63,1022,0,0
1/2/19 2:10,-3.575,1.114,346.1,75.14,1022,0,0
1/2/19 2:20,-3.631,1.438,339.8,76.22,1022,0,0
1/2/19 2:30,-3.653,1.544,327.5,77.18,1022,0,0
1/2/19 2:40,-3.906,0.522,348.5,75.06,1023,0,0
1/2/19 2:50,-4.141,0.93,353.3,78.31,1023,0,0
1/2/19 3:00,-4.217,0.749,346.5,78.3,1023,0,0
1/2/19 3:10,-4.319,0.865,335.8,78.28,1023,0,0
1/2/19 3:20,-4.323,1.291,325.4,79.57,1023,0,0
1/2/19 3:30,-4.415,0.9,334.8,78.89,1023,0,0
1/2/19 3:40,-4.555,0.811,353,79.79,1023,0,0
1/2/19 3:50,-4.74,0.743,359.9,80.9,1023,0,0
1/2/19 4:00,-5.066,0.08,22.06,79.8,1023,0,0
1/2/19 4:10,-5.456,0.287,340,81.6,1023,0,0
1/2/19 4:20,-5.557,0.275,213.8,82.1,1023,0,0
1/2/19 4:30,-5.575,0.349,81.9,82.2,1023,0,0
1/2/19 4:40,-5.609,0.433,92.1,82.3,1023,0,0
1/2/19 4:50,-5.685,0.345,8.44,81.8,1023,0,0
1/2/19 5:00,-5.575,0.926,352.4,84,1023,0,0
1/2/19 5:10,-5.483,0.614,1.784,84,1024,0,0
1/2/19 5:20,-5.553,0.831,17.75,84,1024,0,0
