Date/Time,Avg. Temp Deg. C,Avg. Windspeed (mps),Wind Direction (deg) ,Avg. Rel. Humid (%),Atmos Press (mb),Avg. Solar Rad. (W) ,Daily Rain (mm)
1/1/21 0:00,-2.138,0.751,304.4,99.3,1029,0,0
1/1/21 0:10,-2.188,0.829,317.1,99.3,1029,0,0
1/1/21 0:20,-2.06,0.795,321.1,99.3,1029,0,0
1/1/21 0:30,-2.116,0.822,315.7,99.3,1029,0,0
1/1/21 0:40,-2.377,0.64,328,99.3,1029,0,0
1/1/21 0:50,-2.56,0.773,329.3,99.4,1029,0,0
1/1/21 1:00,-2.561,0.689,321.2,99.3,1029,0,0
1/1/21 1:10,-2.623,0.804,313.6,99.3,1029,0,0
1/1/21 1:20,-2.88,0.363,339.8,99.4,1029,0,0
1/1/21 1:30,-3.15,0.374,323.5,99.4,1029,0,0
1/1/21 1:40,-3.221,0.576,313.6,99.4,1030,0,0
1/1/21 1:50,-3.091,0.575,318.2,99.4,1030,0,0
1/1/21 2:00,-2.939,0.916,301.5,99.4,1030,0,0
1/1/21 2:10,-2.748,0.908,317.5,99.3,1030,0,0
1/1/21 2:20,-2.73,0.856,326.5,99.3,1030,0,0
1/1/21 2:30,-2.693,0.985,327,99.3,1030,0,0
1/1/21 2:40,-2.56,1.037,333.4,99.3,1030,0,0
1/1/21 2:50,-2.657,0.797,335.8,99.3,1030,0,0
1/1/21 3:00,-2.763,0.805,330.2,99.3,1030,0,0
1/1/21 3:10,-2.78,0.848,320.8,99.3,1030,0,0
1/1/21 3:20,-2.853,0.926,317.3,99.3,1030,0,0
1/1/21 3:30,-3.005,1.138,317.9,99.3,1030,0,0
1/1/21 3:40,-3.079,1.006,312.9,99.3,1031,0,0
1/1/21 3:50,-3.328,0.831,316.2,99.3,1031,0,0
1/1/21 4:00,-3.457,0.969,322.5,99.3,1031,0,0
1/1/21 4:10,-3.388,1.101,321.3,99.3,1031,0,0
1/1/21 4:20,-3.366,0.94,323.2,99.3,1031,0,0
1/1/21 4:30,-3.482,0.9,328.6,99.3,1031,0,0
1/1/21 4:40,-3.59,0.87,322.8,99.3,1031,0,0
1/1/21 4:50,-3.598,0.844,314.7,99.3,1031,0,0
1/1/21 5:00,-3.724,0.982,311.4,99.3,1031,0,0
1/1/21 5:10,-3.813,0.769,314.7,99.3,1031,0,0
1/1/21 5:20,-3.755,0.931,314.2,99.3,1031,0,0
1/1/21 5:30,-3.548,1.298,313,98.2,1031,0,0
1/1/21 5:40,-3.424,1.293,311.8,97.5,1031,0,0
1/1/21 5:50,-3.357,1.44,328.9,99.2,1031,0,0
1/1/21 6:00,-3.318,1.748,324.3,99.1,1031,0,0
1/1/21 6:10,-3.315,1.462,331.1,99,1031,0,0
1/1/21 6:20,-3.38,1.401,335.7,99,1032,0,0
1/1/21 6:30,-3.4,1.09,335.2,97.8,1032,0,0
1/1/21 6:40,-3.382,1.156,343.6,98,1032,0,0
1/1/21 6:50,-3.354,1.022,326.6,96.4,1032,0,0
1/1/21 7:00,-3.521,0.91,328.1,96.2,1032,0,0
1/1/21 7:10,-3.67,0.933,349.4,98.2,1032,0,0
1/1/21 7:20,-3.635,0.998,2.691,99,1032,0.118,0
1/1/21 7:30,-3.546,1.042,356.4,98.8,1031,2.62,0
1/1/21 7:40,-3.498,0.872,356.1,99.1,1032,15.6,0
1/1/21 7:50,-2.917,1.007,345.4,99,1032,37.01,0
1/1/21 8:00,-2.242,0.691,331.8,95.5,1032,55.04,0
1/1/21 8:10,-1.834,0.282,280.9,91.9,1032,69.25,0
1/1/21 8:20,-1.213,0.023,117.3,89.7,1032,93.6,0
1/1/21 8:30,-0.683,0.199,152.6,86.8,1032,123.2,0
1/1/21 8:40,-0.948,0.95,174.7,87.3,1033,146.5,0
1/1/21 8:50,-1.275,1.23,156.7,97.8,1033,176.3,0
1/1/21 9:00,-1.109,0.864,142.9,97.9,1033,203.4,0
1/1/21 9:10,-0.591,0.505,139.1,88.6,1033,234,0
1/1/21 9:20,0.618,0.315,29.65,83.6,1033,243.4,0
1/1/21 9:30,0.979,0.636,73.15,83.4,1033,254.8,0
1/1/21 9:40,1.146,0.443,204.7,79.68,1033,290.5,0
1/1/21 9:50,1.563,0.19,154.9,72.27,1033,314.4,0
1/1/21 10:00,2.418,0.302,161.6,63.55,1033,338,0
1/1/21 10:10,2.062,0.495,176.4,63.96,1033,338.6,0
1/1/21 10:20,1.489,1.914,38.97,86,1033,364.8,0
1/1/21 10:30,0.81,1.762,25.36,91.6,1032,376.2,0
1/1/21 10:40,0.921,1.046,58.8,83.1,1032,320.2,0
