Date/Time,Avg. Temp Deg. C,Avg. Windspeed (mps),Wind Direction (deg) ,Avg. Rel. Humid (%),Atmos Press (mb),Avg. Solar Rad. (W) ,Daily Rain (mm)
1/1/23 0:00,8.79,0.15,192.7,99.9,1006,0.02,0
1/1/23 0:10,8.81,0.184,194.6,99.9,1006,0,0
1/1/23 0:20,8.79,0.166,201.8,99.9,1006,0,0
1/1/23 0:30,8.72,0.163,193.4,99.9,1006,0,0
1/1/23 0:40,8.64,0.166,174.4,99.9,1006,0,0
1/1/23 0:50,8.55,0.541,175,99.9,1006,0,0
1/1/23 1:00,8.49,0.459,189.5,99.9,1006,0,0
1/1/23 1:10,8.51,0.081,178,99.9,1006,0,0
1/1/23 1:20,8.43,0,0,99.9,1006,0.013,0
1/1/23 1:30,8.53,0,0,99.9,1006,0.184,0
1/1/23 1:40,8.61,0,0,99.9,1005,0.04,0
1/1/23 1:50,8.55,0,218.2,99.9,1005,0,0
1/1/23 2:00,8.52,0.265,239.2,99.9,1005,0,0
1/1/23 2:10,8.59,0.31,274.5,99.9,1006,0.009,0
1/1/23 2:20,8.74,1.314,272.4,99.9,1006,0.147,0
1/1/23 2:30,9.37,1.603,264.7,99.9,1006,0.532,0
1/1/23 2:40,9.68,0.704,276.4,99.9,1006,0,0
1/1/23 2:50,9.64,0.816,289.4,99.9,1006,0,0
1/1/23 3:00,9.84,1.201,287.8,99.9,1006,0.904,0
1/1/23 3:10,10.02,0.427,307,99.9,1006,1.042,0
1/1/23 3:20,10.01,0.283,310.9,99.9,1006,0.37,0
1/1/23 3:30,10.13,0.206,14.01,99.9,1006,1.453,0
1/1/23 3:40,10.32,0.014,104.1,99.9,1006,1.089,0
1/1/23 3:50,10.3,0.39,331.9,99.9,1006,1.612,0
1/1/23 4:00,10.23,1.228,305.8,99.9,1006,1.83,0
1/1/23 4:10,10.09,0.347,312.5,99.9,1006,1.246,0
1/1/23 4:20,10.06,0.908,316.7,99.9,1006,1.555,0
1/1/23 4:30,10.05,1.13,309.8,99.9,1006,1.825,0
1/1/23 4:40,10.04,1.163,320.1,99.9,1006,1.65,0
1/1/23 4:50,9.92,1.098,315.4,99.9,1007,1.521,0
1/1/23 5:00,9.81,1.089,313,99.9,1007,1.484,0
1/1/23 5:10,9.64,1.455,314.6,99.9,1007,0.17,0
1/1/23 5:20,9.55,1.62,307.6,99.9,1007,0.4,0
1/1/23 5:30,9.44,2.099,302.9,99.9,1007,0.214,0
1/1/23 5:40,9.19,2.386,298.5,99.9,1007,0,0
1/1/23 5:50,9.02,2.335,317.9,99.9,1007,0,0
1/1/23 6:00,8.82,2.54,326.6,99.9,1007,0,0
1/1/23 6:10,8.45,2.776,315.6,99.9,1007,0,0
1/1/23 6:20,8.08,3.463,307.5,99.9,1007,0,0
